U,L
♪ I ride off all alone ♪,misc
♪ I never grew up ♪,misc
♪ It's getting so old ♪,misc
♪ Let me hold on to you ♪,misc
"There's this thing people say about celebrities,",give.opinion
"that they're frozen at the age they got famous,",give.opinion
and that's kind of what happened to me.,give.opinion
"I had a lot of growing up to do, just trying to catch up to 29.",give.opinion
Just gonna go have fun.,give.opinion
No one out there that I know of in the audience actively hates me.,give.opinion
Not get dead-faced.,give.opinion
#NAME?,x
Ready to do this?,closed.question
#NAME?,x
"May 19th, 2003.",give.statement
"""Oh, I tried to practice my songs, but I completely psyched myself out",recall
and broke down crying.,recall
I don't know if I can do this.,recall
"I want it so bad, but I get so scared of what might happen.",recall
"Relax, I can handle it.",recall
I'm young. I'm talented. They'll see it in me.,recall
"I've got to hang on.""",recall
♪ All the king's horses ♪,misc
♪ All the king's men ♪,misc
♪ Couldn't put me together again ♪,misc
♪ 'Cause all of my enemies Started out friends ♪,misc
♪ Help me hold on to you ♪,misc
♪ I've been the archer ♪,misc
♪ I've been the prey ♪,misc
"♪ Who could ever leave me, darling? ♪",misc
♪ But who could stay? ♪,misc
♪ Who could stay? ♪,misc
♪ Who could stay? ♪,misc
I wanna still have a sharp pen,recall
and a thin skin,recall
and an open heart.,recall
♪ Combat ♪,misc
♪ I'm ready for combat ♪,misc
♪ It keeps me awake ♪,misc
♪ The look on your face ♪,misc
♪ The moment you heard the news ♪,misc
♪ You're screamin' inside ♪,misc
♪ And frozen in time ♪,misc
♪ You did all that you could do ♪,misc
♪ The game was rigged ♪,misc
♪ The ref got tricked ♪,misc
♪ The wrong ones think they're right ♪,misc
♪ You were outnumbered ♪,misc
♪ This time ♪,misc
♪ But only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Can run ♪,misc
♪ Can run ♪,misc
♪ So run ♪,misc
♪ And run and run ♪,misc
♪ They aren't gonna help us ♪,misc
♪ Too busy helpin' themselves ♪,misc
♪ They aren't gonna change this ♪,misc
♪ We gotta do it ourselves ♪,misc
♪ They think that it's over ♪,misc
♪ But it's just begun ♪,misc
♪ Only one thing can save us ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
#NAME?,x
♪ Only the young ♪,misc
